latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.25639,76.79179,341.31,0.75,0.77,2026-09-06,0644,N20,nominal,2.0NRT,294.31,11.21,D
16.43625,99.75914,337.21,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,294.65,4.72,D
16.7702,99.93446,332.19,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,295.26,3.56,D
16.91989,100.15099,331.27,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,295.38,1.65,D
17.07893,99.99368,333.44,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,295.63,1.65,D
17.08225,99.99312,334.06,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,295.4,4.06,D
17.15328,99.77462,333.54,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,295.92,4.63,D
17.07095,99.05289,332.28,0.41,0.37,2026-09-06,0635,N20,low,2.0NRT,295.13,3.83,D
19.90937,99.2664,330.11,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,302.14,3.7,D
22.01426,100.75085,328.93,0.39,0.36,2026-09-06,0637,N20,low,2.0NRT,301.46,3.34,D
25.14314,98.91814,356.28,0.38,0.36,2026-09-06,0637,N20,low,2.0NRT,293.62,5.7,D
25.14643,98.91754,341.43,0.38,0.36,2026-09-06,0637,N20,nominal,2.0NRT,299.23,5.7,D
25.02915,96.36425,328.9,0.43,0.38,2026-09-06,0637,N20,nominal,2.0NRT,295.5,4.44,D
25.58563,98.85622,345.68,0.38,0.36,2026-09-06,0637,N20,nominal,2.0NRT,300.29,5.96,D
26.56189,101.67776,332.49,0.45,0.39,2026-09-06,0637,N20,low,2.0NRT,305.18,3.48,D
26.56542,101.67711,336.06,0.45,0.39,2026-09-06,0637,N20,nominal,2.0NRT,304.5,3.48,D
26.56486,101.67278,330.93,0.45,0.39,2026-09-06,0637,N20,low,2.0NRT,305.12,3.48,D
26.57489,101.66653,344.81,0.45,0.39,2026-09-06,0637,N20,nominal,2.0NRT,306.24,15.03,D
26.61968,101.59528,338.87,0.44,0.39,2026-09-06,0637,N20,nominal,2.0NRT,301.94,9.72,D
27.87556,96.92477,338.88,0.39,0.36,2026-09-06,0640,N20,nominal,2.0NRT,297.66,5.75,D
27.87494,96.92095,331.02,0.39,0.36,2026-09-06,0640,N20,nominal,2.0NRT,296.46,5.75,D
28.4852,97.02938,330.93,0.39,0.36,2026-09-06,0640,N20,nominal,2.0NRT,293.48,1.67,D
28.49798,97.02338,341.75,0.39,0.36,2026-09-06,0640,N20,nominal,2.0NRT,298.49,6.03,D
28.51981,97.01084,330.9,0.39,0.36,2026-09-06,0640,N20,nominal,2.0NRT,289.36,2.72,D
29.62895,90.97001,328.92,0.45,0.47,2026-09-06,0640,N20,low,2.0NRT,299.97,4.33,D
29.68256,91.14607,327.21,0.43,0.46,2026-09-06,0640,N20,nominal,2.0NRT,292.82,4.21,D
29.65425,90.98629,327.18,0.44,0.46,2026-09-06,0640,N20,low,2.0NRT,297.97,4.81,D
29.66132,90.99944,327.5,0.44,0.46,2026-09-06,0640,N20,nominal,2.0NRT,295.75,3.6,D
29.66549,90.99844,348.1,0.44,0.46,2026-09-06,0640,N20,nominal,2.0NRT,297.88,7.92,D
29.66967,90.99748,344.24,0.44,0.46,2026-09-06,0640,N20,nominal,2.0NRT,299.14,7.92,D
13.79744,101.27433,330.18,0.39,0.36,2026-09-06,0633,N20,nominal,2.0NRT,297.54,2.42,D
13.88739,100.30708,333.71,0.4,0.37,2026-09-06,0633,N20,low,2.0NRT,297.8,3.11,D
14.12562,100.39357,332.25,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,294.21,4.18,D
14.11135,100.06555,336.05,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,296.49,3.95,D
14.12449,100.01781,336,0.4,0.37,2026-09-06,0635,N20,nominal,2.0NRT,297.33,4.82,D
14.22831,100.525,339.2,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,296.49,5.23,D
14.19568,100.06287,345.52,0.4,0.37,2026-09-06,0635,N20,nominal,2.0NRT,297.43,11.11,D
14.23032,100.12894,331.71,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,297.53,3.96,D
14.36143,100.22703,348.43,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,298.95,6.98,D
14.37804,100.20176,332.91,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,296.79,3.05,D
14.46332,100.68108,332.14,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,298.08,2.85,D
14.36305,100.01942,342.06,0.4,0.37,2026-09-06,0635,N20,nominal,2.0NRT,295.86,8.08,D
14.52125,100.61621,335.73,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,298.1,2.81,D
14.63341,101.07698,331.87,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,298.64,3.89,D
14.56045,100.58394,332.84,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,299.49,2.6,D
14.51503,100.23413,332.36,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,296.89,4.48,D
14.64853,101.04053,334.19,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,299.11,5.37,D
14.52113,100.22937,333.11,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,299.12,3.92,D
14.67264,100.80305,336.15,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,301.63,4.61,D
14.61098,100.04518,336.84,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,296.96,5.44,D
14.61616,99.99139,342.32,0.4,0.37,2026-09-06,0635,N20,nominal,2.0NRT,296.97,5.27,D
14.74061,100.71474,333.59,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,301.56,2.37,D
14.73941,100.66354,336.66,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,298.25,3.63,D
14.70959,100.47313,335.48,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,299.13,3.09,D
14.75251,100.27258,337.96,0.39,0.37,2026-09-06,0635,N20,nominal,2.0NRT,298.05,3.26,D
14.83616,100.34792,344.93,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,298.2,6.33,D
14.80922,100.15469,335.02,0.4,0.37,2026-09-06,0635,N20,nominal,2.0NRT,297.01,5.44,D
14.83373,100.28884,345.68,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,297.98,5.92,D
15.13587,101.87647,340.73,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,298.23,2.77,D
14.90311,100.14651,337.49,0.4,0.37,2026-09-06,0635,N20,low,2.0NRT,292.97,5.65,D
15.04113,100.22402,343.82,0.39,0.37,2026-09-06,0635,N20,nominal,2.0NRT,296.95,8.65,D
15.12745,100.69027,337.07,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,300.57,6.99,D
15.1269,100.68669,340.83,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,302.16,7.8,D
15.0573,100.23997,339.83,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,297.87,5.26,D
15.08715,100.32361,335.41,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,297.7,3.06,D
15.12952,100.5495,332.53,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,296.04,1,D
15.17843,100.73243,330.3,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,296.38,1.47,D
15.11058,100.23413,337,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,298.47,5.66,D
15.16934,100.36925,335.32,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,297.5,3.53,D
15.71528,100.36124,332.09,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,296.7,7.82,D
15.72603,100.17008,337.9,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,296.66,4.56,D
15.8241,100.1458,341.75,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,297.45,5.78,D
15.87312,100.19714,330.47,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,297.72,3.74,D
15.9266,100.08376,331.47,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,295.65,1.83,D
15.98584,100.17815,331.41,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,296.86,8.46,D
16.00301,100.04844,335.76,0.39,0.36,2026-09-06,0635,N20,nominal,2.0NRT,297,5.22,D
16.00243,100.04479,332.65,0.39,0.36,2026-09-06,0635,N20,low,2.0NRT,293.19,5.22,D
