latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.62579,101.62735,334.79,0.45,0.39,2026-08-31,0557,N21,nominal,2.0NRT,303.75,6.06,D
36.79141,101.74784,337.38,0.45,0.39,2026-08-31,0557,N21,nominal,2.0NRT,304.21,4.79,D
27.71302,68.48718,340.49,0.61,0.71,2026-08-31,0737,N21,nominal,2.0NRT,295.57,8.86,D
29.72424,72.49563,335.37,0.64,0.54,2026-08-31,0737,N21,nominal,2.0NRT,299.46,6.23,D
29.83538,72.73585,333.11,0.61,0.54,2026-08-31,0737,N21,nominal,2.0NRT,297.33,8.11,D
29.83337,72.73394,339.7,0.61,0.54,2026-08-31,0737,N21,nominal,2.0NRT,297.71,8.63,D
29.95839,69.32169,367,0.48,0.65,2026-08-31,0737,N21,high,2.0NRT,308.63,8.59,D
31.52207,72.39377,340.09,0.59,0.53,2026-08-31,0737,N21,nominal,2.0NRT,293.93,10.29,D
31.52356,72.39872,339.9,0.59,0.53,2026-08-31,0737,N21,nominal,2.0NRT,293.88,9.95,D
31.52217,72.39277,331.99,0.59,0.53,2026-08-31,0737,N21,nominal,2.0NRT,293.62,9.95,D
37.30502,78.87849,367,0.39,0.36,2026-08-31,0739,N21,high,2.0NRT,313.86,15.77,D
37.31399,78.84939,367,0.39,0.36,2026-08-31,0739,N21,high,2.0NRT,314.49,13.75,D
37.475,79.74489,347.69,0.38,0.36,2026-08-31,0739,N21,nominal,2.0NRT,318.62,5.17,D
37.47826,79.7441,350.47,0.38,0.36,2026-08-31,0739,N21,nominal,2.0NRT,319.25,5.66,D
38.04887,67.26337,367,0.39,0.59,2026-08-31,0739,N21,high,2.0NRT,321.7,15.59,D
38.62393,67.99313,336.14,0.35,0.56,2026-08-31,0739,N21,nominal,2.0NRT,301.61,4.66,D
37.11576,62.35703,333.03,0.75,0.77,2026-08-31,0739,N21,low,2.0NRT,303.06,7.13,D
37.11747,62.36304,341.9,0.75,0.77,2026-08-31,0739,N21,nominal,2.0NRT,304.38,14.03,D
6.35075,81.24818,338.17,0.48,0.48,2026-08-31,0731,N21,nominal,2.0NRT,296.71,4.27,D
6.79038,81.44179,330.68,0.46,0.47,2026-08-31,0731,N21,nominal,2.0NRT,299.56,7.17,D
6.8733,81.70708,330.31,0.44,0.46,2026-08-31,0731,N21,low,2.0NRT,303.47,10.63,D
6.95182,81.46968,330.87,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,296,5.39,D
7.0032,81.59778,342.17,0.44,0.46,2026-08-31,0731,N21,nominal,2.0NRT,301.84,5.88,D
7.30419,81.76376,338.81,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,292.25,5.01,D
7.30356,81.75993,334.68,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,292.16,7.86,D
7.31772,81.82027,341.27,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,295.39,6.74,D
7.31523,81.80508,334.99,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,293.53,1.71,D
7.30898,81.76691,333.98,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,293.11,5.01,D
7.31063,81.75089,338.84,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,293.64,4.25,D
7.32209,81.76869,345.08,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,291.69,3.61,D
7.32625,81.768,335.65,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,292.25,3.61,D
7.32394,81.76893,348.8,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,291.94,6.06,D
7.35151,81.83083,336.08,0.42,0.45,2026-08-31,0731,N21,nominal,2.0NRT,296.71,2.11,D
7.33342,81.46716,341.13,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,294.03,4.16,D
7.31087,81.17319,333.6,0.47,0.48,2026-08-31,0731,N21,nominal,2.0NRT,294.86,4.78,D
7.40394,81.54904,331.04,0.44,0.46,2026-08-31,0731,N21,nominal,2.0NRT,286.62,5.68,D
7.52587,81.71207,341.92,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,297.16,6.61,D
7.52748,81.71138,337.44,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,296.53,6.19,D
7.547,81.70036,333.38,0.43,0.46,2026-08-31,0731,N21,nominal,2.0NRT,300.34,4.33,D
7.55875,81.38422,336.8,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,302.12,1.62,D
7.55606,81.36801,343.87,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,306.26,14.39,D
7.60501,80.95575,333.1,0.48,0.48,2026-08-31,0731,N21,nominal,2.0NRT,300.9,4.35,D
7.59092,80.81683,333.92,0.49,0.49,2026-08-31,0731,N21,nominal,2.0NRT,299.43,4.87,D
7.92859,81.38584,335.13,0.44,0.46,2026-08-31,0731,N21,low,2.0NRT,306.34,5.31,D
7.93282,81.38515,344.45,0.44,0.46,2026-08-31,0731,N21,nominal,2.0NRT,305.81,7.9,D
7.92194,81.32151,336.96,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,303.16,5.58,D
7.92126,81.31751,342.39,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,303.84,5.58,D
7.93807,81.33938,344.22,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,305.26,5.81,D
7.74101,80.13753,332.72,0.54,0.51,2026-08-31,0731,N21,nominal,2.0NRT,292.16,6.94,D
7.96403,81.1816,332.63,0.46,0.47,2026-08-31,0731,N21,nominal,2.0NRT,301.39,3.56,D
7.88021,80.68107,333,0.5,0.49,2026-08-31,0731,N21,nominal,2.0NRT,298.09,4.43,D
7.89795,80.65073,335.5,0.5,0.49,2026-08-31,0731,N21,nominal,2.0NRT,298.14,4.96,D
7.8962,80.43355,333.28,0.51,0.5,2026-08-31,0731,N21,nominal,2.0NRT,300.09,5.51,D
7.93259,80.61817,331.47,0.5,0.49,2026-08-31,0731,N21,nominal,2.0NRT,301.38,6.62,D
8.01236,80.61018,341.33,0.5,0.49,2026-08-31,0731,N21,nominal,2.0NRT,301.3,13.74,D
8.01158,80.60573,340.29,0.5,0.49,2026-08-31,0731,N21,nominal,2.0NRT,300.89,15.07,D
7.96328,80.27494,341.46,0.53,0.5,2026-08-31,0731,N21,nominal,2.0NRT,298.51,16.31,D
7.96101,80.09879,345.81,0.54,0.51,2026-08-31,0731,N21,nominal,2.0NRT,299.64,11.14,D
8.06882,80.64643,342.31,0.49,0.49,2026-08-31,0731,N21,nominal,2.0NRT,302.74,13.02,D
8.06807,80.64201,339.43,0.5,0.49,2026-08-31,0731,N21,nominal,2.0NRT,300.4,11.09,D
8.03635,80.40153,339.91,0.51,0.5,2026-08-31,0731,N21,nominal,2.0NRT,299.38,4.72,D
8.03412,80.19515,342.01,0.53,0.5,2026-08-31,0731,N21,nominal,2.0NRT,299.78,17.47,D
8.03408,80.19231,340.68,0.53,0.5,2026-08-31,0731,N21,nominal,2.0NRT,299.7,16.12,D
8.12984,80.14678,330.18,0.53,0.5,2026-08-31,0731,N21,nominal,2.0NRT,299.5,3.91,D
8.13024,80.1483,330.09,0.53,0.5,2026-08-31,0731,N21,nominal,2.0NRT,299.51,4.73,D
8.33201,81.02064,332.14,0.46,0.47,2026-08-31,0731,N21,low,2.0NRT,302.86,3.77,D
8.33131,81.01652,339.23,0.46,0.47,2026-08-31,0731,N21,nominal,2.0NRT,303.18,3.77,D
8.3335,81.00343,332.98,0.46,0.47,2026-08-31,0731,N21,low,2.0NRT,305.09,4.98,D
8.25412,80.51249,336.71,0.5,0.49,2026-08-31,0731,N21,nominal,2.0NRT,301.62,9.33,D
8.36337,81.04925,347.43,0.46,0.47,2026-08-31,0731,N21,nominal,2.0NRT,306.18,8.81,D
8.22025,80.20634,331.08,0.53,0.5,2026-08-31,0731,N21,nominal,2.0NRT,298.58,2.74,D
8.34818,80.79399,332.25,0.48,0.48,2026-08-31,0731,N21,low,2.0NRT,303.26,3.89,D
8.37055,80.74158,340.3,0.48,0.48,2026-08-31,0731,N21,nominal,2.0NRT,304.11,5.15,D
8.39373,80.63971,330.31,0.49,0.49,2026-08-31,0731,N21,low,2.0NRT,302.1,3.32,D
8.43034,80.80201,340.11,0.48,0.48,2026-08-31,0731,N21,nominal,2.0NRT,301.18,5.39,D
8.42529,80.74567,342.4,0.48,0.48,2026-08-31,0731,N21,nominal,2.0NRT,305.1,8.2,D
8.42456,80.74141,330.3,0.48,0.48,2026-08-31,0731,N21,low,2.0NRT,304.08,8.2,D
8.33914,80.21149,342.98,0.52,0.5,2026-08-31,0731,N21,nominal,2.0NRT,303.33,11.28,D
8.34743,80.20525,342.35,0.52,0.5,2026-08-31,0731,N21,nominal,2.0NRT,304.4,17.86,D
8.4486,80.75056,331.12,0.48,0.48,2026-08-31,0731,N21,low,2.0NRT,303.96,4.98,D
8.51206,81.10396,334.39,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,303.24,6.7,D
8.39142,80.38304,341.08,0.51,0.49,2026-08-31,0731,N21,nominal,2.0NRT,300.9,10.55,D
8.47237,80.81231,330.71,0.48,0.48,2026-08-31,0731,N21,low,2.0NRT,301.98,1.78,D
8.51124,81.10506,336.3,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,303.89,6.16,D
8.52257,81.1198,335.23,0.45,0.47,2026-08-31,0731,N21,nominal,2.0NRT,303.94,4.33,D
8.39323,80.38007,340.17,0.51,0.49,2026-08-31,0731,N21,nominal,2.0NRT,299.37,4.19,D
8.47298,80.80927,330.07,0.47,0.48,2026-08-31,0731,N21,low,2.0NRT,302.47,4.01,D
8.47578,80.77385,336,0.48,0.48,2026-08-31,0731,N21,nominal,2.0NRT,304.26,6.39,D
8.49258,80.81905,351.33,0.47,0.48,2026-08-31,0731,N21,nominal,2.0NRT,299.65,9.75,D
8.49186,80.81484,341.26,0.47,0.48,2026-08-31,0731,N21,nominal,2.0NRT,302.72,8.86,D
8.47713,80.72977,330.72,0.48,0.48,2026-08-31,0731,N21,nominal,2.0NRT,299.61,6.58,D
8.49839,80.82677,336.61,0.47,0.48,2026-08-31,0731,N21,nominal,2.0NRT,302.93,6.85,D
8.49766,80.82256,330.62,0.47,0.48,2026-08-31,0731,N21,low,2.0NRT,302.04,7.47,D
